feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err,add variables in this order,variable name
"(2,)","[0.50574713 0.5862069  0.74712644 0.72093023 0.52325581 0.49425287
 0.67816092 0.5862069  0.90804598 0.44827586]",0.6198209035017375,"('Cardnum_Merchnum_total_7',)",0.1003898265009266,0.13516638751538584,0.04505546250512861,1.0,Cardnum_Merchnum_total_7
"(2, 64)","[0.8045977  0.68965517 0.79310345 0.72093023 0.54651163 0.62068966
 0.5862069  0.56321839 0.91954023 0.44827586]",0.6692729216786955,"('Cardnum_Merchnum_total_7', 'Cardnum_Merch zip_max_90')",0.10068687824094948,0.13556634249093988,0.04518878083031329,2.0,Cardnum_Merch zip_max_90
"(2, 17, 64)","[0.8045977  0.70114943 0.7816092  0.73255814 0.54651163 0.62068966
 0.57471264 0.56321839 0.90804598 0.44827586]",0.6681368618016572,"('Cardnum_Merchnum_total_7', 'Cardnum_Merchnum_total_30', 'Cardnum_Merch zip_max_90')",0.09948268037561024,0.1339449921909656,0.044648330730321865,3.0,Cardnum_Merchnum_total_30
"(2, 17, 28, 64)","[0.8045977  0.68965517 0.79310345 0.72093023 0.55813953 0.62068966
 0.57471264 0.56321839 0.90804598 0.44827586]",0.6681368618016573,"('Cardnum_Merchnum_total_7', 'Cardnum_Merchnum_total_30', 'Cardnum_Merch zip_total_30', 'Cardnum_Merch zip_max_90')",0.09894270404895017,0.13321795986147156,0.04440598662049052,4.0,Cardnum_Merch zip_total_30
"(2, 17, 28, 44, 64)","[0.8045977  0.68965517 0.79310345 0.72093023 0.55813953 0.62068966
 0.57471264 0.5862069  0.90804598 0.44827586]",0.67043571237637,"('Cardnum_Merchnum_total_7', 'Cardnum_Merchnum_total_30', 'Cardnum_Merch zip_total_30', 'Cardnum_Merchnum_total_60', 'Cardnum_Merch zip_max_90')",0.09772308546679231,0.13157584687410237,0.04385861562470078,5.0,Cardnum_Merchnum_total_60
"(2, 17, 28, 39, 44, 64)","[0.8045977  0.68965517 0.79310345 0.72093023 0.55813953 0.62068966
 0.57471264 0.5862069  0.90804598 0.44827586]",0.67043571237637,"('Cardnum_Merchnum_total_7', 'Cardnum_Merchnum_total_30', 'Cardnum_Merch zip_total_30', 'Cardnum_fulladdress_total_60', 'Cardnum_Merchnum_total_60', 'Cardnum_Merch zip_max_90')",0.09772308546679231,0.13157584687410237,0.04385861562470078,6.0,Cardnum_fulladdress_total_60
"(2, 17, 28, 39, 41, 44, 64)","[0.8045977  0.68965517 0.79310345 0.72093023 0.55813953 0.62068966
 0.57471264 0.5862069  0.90804598 0.44827586]",0.67043571237637,"('Cardnum_Merchnum_total_7', 'Cardnum_Merchnum_total_30', 'Cardnum_Merch zip_total_30', 'Cardnum_fulladdress_total_60', 'Cardnum_Merch zip_total_60', 'Cardnum_Merchnum_total_60', 'Cardnum_Merch zip_max_90')",0.09772308546679231,0.13157584687410237,0.04385861562470078,7.0,Cardnum_Merch zip_total_60
"(2, 17, 28, 39, 41, 42, 44, 64)","[0.8045977  0.68965517 0.79310345 0.72093023 0.56976744 0.56321839
 0.57471264 0.5862069  0.90804598 0.44827586]",0.6658513766372628,"('Cardnum_Merchnum_total_7', 'Cardnum_Merchnum_total_30', 'Cardnum_Merch zip_total_30', 'Cardnum_fulladdress_total_60', 'Cardnum_Merch zip_total_60', 'Cardnum_Merch description_total_60', 'Cardnum_Merchnum_total_60', 'Cardnum_Merch zip_max_90')",0.09949482775068137,0.13396134760130335,0.04465378253376778,8.0,Cardnum_Merch description_total_60
"(2, 14, 17, 28, 39, 41, 42, 44, 64)","[0.63218391 0.6091954  0.73563218 0.79069767 0.58139535 0.68965517
 0.71264368 0.48275862 0.91954023 0.44827586]",0.6601978080727078,"('Cardnum_Merchnum_total_7', 'Cardnum_Merch description_total_3', 'Cardnum_Merchnum_total_30', 'Cardnum_Merch zip_total_30', 'Cardnum_fulladdress_total_60', 'Cardnum_Merch zip_total_60', 'Cardnum_Merch description_total_60', 'Cardnum_Merchnum_total_60', 'Cardnum_Merch zip_max_90')",0.09953151244724037,0.1340107404340615,0.04467024681135383,9.0,Cardnum_Merch description_total_3
"(2, 14, 17, 28, 31, 39, 41, 42, 44, 64)","[0.63218391 0.6091954  0.7816092  0.79069767 0.59302326 0.66666667
 0.71264368 0.48275862 0.90804598 0.44827586]",0.6625100240577385,"('Cardnum_Merchnum_total_7', 'Cardnum_Merch description_total_3', 'Cardnum_Merchnum_total_30', 'Cardnum_Merch zip_total_30', 'Cardnum_fulladdress_max_30', 'Cardnum_fulladdress_total_60', 'Cardnum_Merch zip_total_60', 'Cardnum_Merch description_total_60', 'Cardnum_Merchnum_total_60', 'Cardnum_Merch zip_max_90')",0.09970976763156421,0.13425074592227415,0.04475024864075806,10.0,Cardnum_fulladdress_max_30
