variable name
Cardnum_Merchnum_total_7
Cardnum_Merch zip_max_90
Cardnum_Merchnum_total_30
Cardnum_Merch zip_total_30
Cardnum_Merchnum_total_60
Cardnum_fulladdress_total_60
Cardnum_Merch zip_total_60
Cardnum_Merch description_total_60
Cardnum_Merch description_total_3
Cardnum_fulladdress_max_30
Merch state_actual/med_90
Cardnum_Merch state_max_14
Merch description_max_0
Cardnum_Merch description_max_90
Cardnum_Merch description_total_90
Cardnum_Merchnum_max_90
Cardnum_fulladdress_max_7
Cardnum_Merch description_max_7
Cardnum_Merch zip_max_14
Cardnum_Merch zip_max_7
